"category","text"
"POLITICS","Trump Dogged By 'Loser-Palooza' Airplane Message At Florida Rally  |||  The message — flying over the Florida fairgrounds where Trump was speechifying —was funded by the progressive PAC MeidasTouch."
"POLITICS","Trump And Kim Are Trading Personal Threats As Millions Of Lives Hang In The Balance  |||  Experts are concerned the pair are edging dangerously close to war."
"POLITICS","Fox News Should Know This Isn't The First Time Someone Questioned A President's Legitimacy  |||  Remember the birther movement?"
"POLITICS","Voting For Kanye West Is 'Not Funny,' Warns Jennifer Aniston  |||  ""Please be responsible,"" actor pleads as she drops off her own ballot early in West Hollywood."
"POLITICS","Trump Lectures America On Values One Year After Being Caught Bragging About Assault  |||  Pot, meet kettle."
"POLITICS","Trump Calls Elephant Trophy Hunting A 'Horror Show,' Says He's Unlikely To Allow Imports  |||  He halted his administration's decision earlier this week to lift a ban on the import of elephant parts from two African nations."
"POLITICS","Trump Opens Door To Modest Troop Increase For Afghanistan  |||  Current U.S. troop numbers are about 8,400."
"POLITICS","Trump The Master Dealmaker Seems Determined To Alienate All His Negotiating Partners  |||  Is there anyone the president hasn't lashed over his health care failure?"
"POLITICS","Republicans Don't Want To Talk About Trump Unless They're On The Campaign Trail  |||  GOP politicians are relying on Donald Trump — who attempted to overthrow an election he lost — to energize voters ahead of the 2022 midterm elections."
"POLITICS","Tim Kaine: Democrats Will Nuke Filibuster For Supreme Court Nominees If GOP Won't Cooperate  |||  Senate Republicans are already indicating they'll block any potential nominee put forward by Hillary Clinton."
"POLITICS","Steve Bullock Buys Website To Help Trump Understand Whether Greenland Is For Sale  |||  The 2020 Democratic candidate is using the president's reported interest in acquiring the island to fundraise for his own campaign."
"POLITICS","Donald Trump Pays Tribute To Holocaust Victims While Banning Refugees  |||  His statement also never actually mentions the Jewish people."
"POLITICS","No, Bernie Sanders' Rallies Are Not As Violent As Trump's  |||  There have been at least 58 arrests and citations connected to Trump events since Feb. 29."
"POLITICS","Ted Cruz Doesn't Want To Anger Donald Trump's KKK Fans  |||  Because he wants their votes, too."
"POLITICS","Ben Carson Slashes Staff As Funds Dry Up  |||  Ben Carson, the famed neurosurgeon whose bid for the Republican presidential nomination has struggled to keep pace with rivals"
"POLITICS","How Net Neutrality Repeal Could Silence Women And People Of Color  |||  The FCC voted Thursday to overturn rules that ensured ISPs couldn't play favorites with websites and services."
"POLITICS","Most Voters Already Thought Donald Trump Didn't Respect Women  |||  The latest news cycle probably won't help."
"POLITICS","Kavanaugh Tells Senate He Won't Withdraw Nomination Over Sexual Assault Allegations  |||  “These are smears, pure and simple,” the Supreme Court nominee wrote."
"POLITICS","House Republicans Struggle To Find Path Forward On Budget Impasse  |||  There might be no good way out."
"POLITICS","Outside Spending Targets Wisconsin Sen. Tammy Baldwin  |||  By Emma Leathley Outside spending against Democratic incumbent Sen. Tammy Baldwin of Wisconsin has so far exceeded the combined"
"POLITICS","With Trump's VP Choice, GOP Misses Huge Opportunity  |||  Donald Trump's failure to select a woman as his running mate is more evidence that his party is out of step with voters. At a time when Americans are wrestling with deep divisions of all kinds,, 51 percent of the population has just been foolishly ignored."
"POLITICS","Our Drinking Water Regulation Is So Weak Even Flint's Water Got A Pass  |||  Some 18 million Americans got water from a system that violated federal regulations in 2015."
"POLITICS","Trump Supporters Have Been Primed For His Bogus Voter Fraud Claims For Years  |||  Donald Trump didn't build the voter fraud myth. Republicans helped make that happen."
"POLITICS","Birth Records Open For Missouri Adoptees  |||  About half of states now allow adult adoptees to have some type of access to their original birth certificate without having"
"POLITICS","Oval Office Press Chaos: 'You Guys Are Getting Worse,' Says Trump  |||  Journalists jostling for photos of Trump and South Korean President Moon Jae-In plowed into a table and lamp."
"POLITICS","Republican Food Stamp Plan In Disarray  |||  It's not clear how Republicans could overcome a Democratic filibuster in the Senate."
"POLITICS","Indicted Texas Attorney General Threatens Legal Action Over DACA  |||  Meet the man who's leading the charge against DACA. No, I don't mean President Donald Trump. I mean Ken Paxton, the Texas"
